type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-53,11,1,7,0,1,1,1,1,0,1,-96,1,6,0,424129,0,143,0,0,0.568575,384,[-113 -16 8 0 4 -2 -3 0 -9 1 -14 4 -18 6 -22 9 -25 11 -26 12 -27 15 -26 16 -25 16 -23 15 -20 13 -16 11 -12 8 -8 5 -3 2 1 -1 5 -3 9 -5 12 -6 15 -7 18 -7 20 -6 21 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 5 -27 0 -30 -3 -32 -6 -33 -8 -33 -10 -31 -11 -29 -11 -26 -11 -22 -10 -16 -7 -11 -5 -3 -2 3 1 10 4 15 6 21 8 26 10 30 10 31 9 33 8 33 7 32 4 29 2 26 0 21 -1 ]
CSI_DATA,PASSIVE,94:F8:27:AD:AE:74,-62,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,443465,0,106,0,0,0.578811,256,[106 -96 6 0 -5 21 -5 21 -5 21 -4 20 -4 21 -3 20 -3 21 -2 20 -3 20 -2 21 -2 21 -2 20 -2 20 -2 20 -2 20 -2 20 -2 19 -2 19 -2 18 -2 17 -3 17 -3 16 -4 15 -4 15 -5 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 14 -5 15 -5 15 -6 15 -7 15 -7 16 -8 16 -9 18 -9 18 -9 17 -11 18 -11 18 -11 18 -10 18 -9 18 -10 18 -10 18 -10 18 -8 18 -8 19 -8 19 -7 19 -8 20 -8 20 -8 20 -8 20 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,452980,0,28,0,0,0.588308,128,[28 -64 1 0 2 28 2 28 2 29 2 29 1 28 0 26 0 23 0 22 1 19 2 17 3 16 4 14 6 14 7 13 8 14 8 14 8 16 6 16 5 17 3 17 1 16 0 15 -2 14 -3 12 -4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 18 -6 18 -9 17 -11 15 -11 14 -12 13 -11 12 -11 12 -10 13 -10 14 -10 15 -10 17 -11 19 -12 20 -13 21 -15 22 -15 22 -16 22 -16 21 -15 21 -14 20 -12 20 -10 20 -8 21 -5 22 -2 23 ]
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-51,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,455402,0,30,0,0,0.59395,128,[30 -32 1 0 0 -4 -3 1 -5 7 -7 13 -8 19 -8 23 -8 27 -8 30 -7 31 -6 32 -5 31 -5 28 -3 25 -3 20 -2 14 -1 9 0 4 1 -2 2 -6 3 -11 5 -14 7 -17 10 -19 12 -19 16 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 23 -12 25 -18 26 -22 26 -24 25 -25 24 -26 23 -24 21 -22 18 -19 14 -15 10 -9 6 -3 2 4 -3 10 -7 16 -11 20 -14 24 -17 27 -20 27 -23 27 -25 26 -25 23 -25 20 -24 16 -22 12 -19 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,486984,0,28,0,0,0.622328,128,[28 -64 1 0 -29 -9 -30 -9 -29 -9 -29 -10 -28 -9 -26 -9 -24 -9 -22 -8 -20 -6 -19 -5 -17 -3 -17 -2 -17 0 -16 1 -17 2 -17 2 -19 2 -19 1 -19 -1 -19 -3 -17 -4 -16 -6 -14 -7 -12 -8 -10 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 -11 -16 -14 -13 -15 -12 -16 -10 -15 -10 -16 -9 -15 -10 -15 -10 -15 -12 -14 -13 -15 -14 -17 -16 -18 -16 -20 -17 -22 -16 -23 -16 -24 -16 -23 -16 -24 -15 -22 -15 -21 -15 -19 -16 -17 -18 -15 -20 -12 -24 -11 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,487603,0,28,0,0,0.628818,128,[28 -64 1 0 -8 -29 -8 -29 -8 -30 -7 -29 -6 -29 -5 -27 -5 -25 -5 -23 -5 -21 -6 -18 -6 -16 -8 -15 -9 -14 -10 -13 -11 -13 -11 -14 -11 -15 -10 -16 -9 -17 -7 -17 -5 -17 -3 -17 -1 -16 0 -15 2 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -21 3 -20 5 -19 7 -17 8 -17 8 -16 7 -15 7 -15 6 -16 6 -17 6 -19 6 -20 7 -22 8 -24 10 -25 10 -26 11 -25 12 -26 12 -24 11 -24 10 -23 8 -23 5 -23 3 -22 0 -23 -3 -25 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,488239,0,28,0,0,0.63484,128,[28 -64 1 0 10 -28 11 -28 11 -28 11 -28 11 -26 11 -25 10 -23 9 -21 7 -19 6 -18 4 -17 2 -16 0 -17 -1 -16 -1 -17 -1 -17 -1 -18 0 -19 2 -18 3 -18 5 -17 6 -15 7 -13 8 -11 8 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -16 14 -14 15 -11 16 -10 16 -8 15 -8 15 -8 15 -8 15 -9 15 -10 15 -11 17 -12 19 -13 20 -14 23 -14 23 -13 24 -14 24 -13 24 -13 23 -12 21 -13 20 -14 17 -14 15 -16 14 -19 12 -22 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,488885,0,28,0,0,0.640799,128,[28 -64 1 0 -25 11 -22 11 -19 11 -16 13 -14 14 -13 15 -12 17 -12 18 -12 19 -12 19 -13 19 -14 19 -14 18 -14 15 -14 13 -14 12 -13 10 -12 9 -11 8 -9 7 -9 8 -9 8 -9 9 -10 8 -12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 10 -13 9 -14 9 -16 9 -18 9 -20 8 -21 6 -23 5 -24 2 -23 1 -23 0 -23 -1 -22 -1 -21 -1 -20 0 -20 2 -20 4 -20 6 -21 8 -23 10 -24 11 -26 13 -28 13 -29 14 -30 14 -31 13 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,565726,0,28,0,0,0.701063,128,[28 -64 1 0 19 18 17 15 17 12 17 9 18 7 19 5 20 3 21 3 22 2 23 3 22 3 22 4 21 6 20 7 17 7 15 7 14 7 12 6 11 5 11 4 10 4 11 4 11 4 11 6 11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 6 13 7 14 8 14 10 14 12 14 14 14 16 13 18 12 20 10 20 8 21 7 20 7 20 7 19 7 18 9 17 11 16 13 16 15 15 18 16 20 17 22 18 23 19 24 21 24 22 24 23 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,588506,0,28,0,0,0.72384,128,[28 -64 1 0 27 -2 23 -3 21 -4 19 -7 17 -9 17 -11 16 -13 17 -14 17 -15 17 -16 18 -15 19 -14 19 -13 18 -10 18 -9 16 -7 15 -6 13 -5 12 -5 11 -5 10 -6 10 -6 11 -6 12 -5 13 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -6 14 -5 16 -5 17 -4 19 -3 20 -1 21 1 23 3 23 5 22 6 21 8 20 8 19 8 19 7 18 6 18 5 19 2 20 0 22 -1 24 -2 26 -4 29 -4 30 -4 32 -4 33 -3 34 -2 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,661985,0,28,0,0,0.797315,128,[28 -64 1 0 22 -15 19 -15 16 -14 14 -16 11 -17 10 -19 9 -20 8 -21 8 -21 8 -22 9 -22 10 -22 11 -20 11 -18 11 -16 11 -14 10 -12 9 -11 8 -11 7 -10 6 -11 6 -10 7 -11 9 -11 11 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -12 10 -12 11 -12 13 -12 15 -12 17 -12 19 -10 21 -9 22 -8 22 -6 22 -5 22 -4 22 -3 21 -3 20 -4 18 -5 18 -7 18 -9 19 -12 20 -14 21 -16 23 -18 24 -18 26 -19 27 -19 29 -19 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,671411,0,28,0,0,0.806767,128,[28 -64 1 0 29 1 29 1 30 1 29 2 28 2 26 2 24 2 22 2 20 1 18 0 16 -2 16 -3 14 -5 15 -6 15 -7 16 -7 17 -6 17 -5 18 -4 17 -2 16 0 15 2 14 3 12 4 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 5 17 8 16 10 14 12 13 12 12 12 12 12 12 12 12 11 13 11 14 11 16 12 17 13 19 14 20 16 20 17 20 18 20 18 19 18 19 18 19 16 19 14 19 12 20 10 22 8 24 5 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,671985,0,28,0,0,0.812204,128,[28 -64 1 0 -4 -27 -4 -24 -6 -21 -8 -19 -10 -18 -12 -17 -14 -17 -16 -16 -16 -17 -16 -18 -15 -19 -14 -20 -13 -19 -11 -18 -9 -18 -8 -16 -7 -15 -7 -13 -6 -12 -6 -11 -6 -11 -6 -11 -6 -12 -5 -13 -4 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -14 -6 -15 -5 -16 -5 -17 -4 -19 -3 -21 -2 -22 0 -23 2 -23 4 -23 5 -23 6 -22 7 -21 6 -20 5 -20 3 -20 1 -20 -1 -21 -3 -22 -4 -24 -6 -26 -6 -29 -7 -30 -6 -31 -5 -33 -5 -34 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,682306,0,28,0,0,0.818446,128,[28 -64 1 0 16 22 15 17 15 15 15 12 16 10 18 8 19 6 20 6 22 5 22 6 21 6 21 7 20 8 19 9 16 9 15 9 13 9 11 9 10 7 10 7 9 6 9 6 10 6 10 7 9 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 8 12 9 12 11 12 13 12 15 11 17 10 19 9 20 7 22 5 22 4 21 3 21 3 20 4 20 5 18 6 18 8 17 11 18 12 17 15 19 17 20 18 22 20 23 19 24 19 26 20 26 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,682609,0,28,0,0,0.823709,128,[28 -64 1 0 13 26 12 26 13 26 12 26 11 25 10 24 10 22 9 21 9 18 8 16 8 14 9 13 10 11 11 10 11 10 12 10 12 11 12 12 11 13 10 14 8 14 6 15 4 14 2 14 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 18 1 18 -2 18 -3 17 -4 17 -4 16 -4 16 -3 16 -3 17 -2 18 -2 19 -2 21 -3 23 -4 24 -5 25 -6 26 -6 26 -7 26 -7 25 -6 25 -5 24 -3 23 -1 22 1 22 4 22 8 23 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,682940,0,28,0,0,0.829159,128,[28 -64 1 0 0 26 1 24 3 21 5 19 7 18 9 17 11 16 13 16 13 17 14 17 13 18 12 19 11 19 10 18 8 18 6 16 5 15 5 13 4 12 4 11 4 10 4 10 4 11 4 11 3 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 14 4 15 3 16 1 18 0 19 -2 20 -3 22 -5 22 -7 22 -9 21 -10 20 -11 19 -10 18 -9 18 -8 18 -6 18 -4 19 -2 20 -1 22 1 24 1 26 2 28 2 30 1 31 0 32 0 33 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,683244,0,28,0,0,0.834511,128,[28 -64 1 0 5 -27 3 -24 1 -22 -2 -21 -4 -20 -6 -20 -8 -20 -9 -20 -10 -20 -10 -21 -10 -22 -9 -22 -8 -22 -6 -21 -4 -20 -3 -18 -2 -17 -2 -15 -1 -14 -2 -13 -2 -12 -2 -12 -2 -12 -1 -13 0 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -15 -2 -16 0 -18 1 -19 2 -20 4 -21 6 -21 8 -22 10 -21 11 -20 12 -19 12 -18 12 -17 11 -17 10 -17 8 -17 7 -19 5 -21 4 -23 4 -25 3 -27 4 -29 4 -31 5 -32 5 -33 6 -33 ]
